# Norwegian municipality coordinates - Data source: Kartverket (Norwegian Mapping Authority)
# License: Norwegian License for Open Government Data (NLOD) 2.0
kommune,fylke,latitude,longitude
Aarborte - Hattfjelldal,,65.5039,14.1368
Alstahaug,,65.8641,12.4185
Alta,,70.0142,23.2200
Alvdal,,62.0676,10.5078
Alver,,60.6731,5.2345
Andøy,,69.2332,15.8107
Aremark,,59.2146,11.6968
Arendal,,58.4333,8.9622
Asker,,59.6832,10.4767
Askvoll,,61.3677,4.6819
Askøy,,60.4837,5.0934
Aukra,,62.9239,6.6859
Aure,,63.2594,8.4143
Aurland,,60.8615,7.2341
Aurskog-Høland,,59.8199,11.6133
Austevoll,,60.0403,4.9496
Austrheim,,60.7981,4.8757
Averøy,,63.1234,7.3666
Balsfjord,,69.2621,19.2158
Bamble,,59.0074,9.5590
Bardu,,68.6637,18.8932
Beiarn,,66.8889,14.6565
Bergen,,60.3598,5.3710
Berlevåg,,70.7963,29.1810
Bindal,,65.1608,12.2982
Birkenes,,58.4468,8.1959
Bjerkreim,,58.6626,6.2007
Bjørnafjorden,,60.2002,5.6490
Bodø,,67.3687,14.1615
Bokn,,59.1950,5.4607
Bremanger,,61.8283,4.9854
Brønnøy,,65.4363,12.2219
Bygland,,58.8848,7.6580
Bykle,,59.4374,7.2032
Båtsfjord,,70.5994,30.1880
Bærum,,59.9333,10.5068
Bø,,68.7182,14.1958
Bømlo,,59.7201,4.9752
Deatnu - Tana,,70.2402,27.6604
Dielddanuorri - Tjeldsund,,68.5687,16.6752
Dovre,,62.0787,9.4587
Drammen,,59.7096,10.1669
Drangedal,,59.1001,8.9784
Dyrøy,,69.0379,17.6197
Dønna,,66.1728,12.3745
Eidfjord,,60.3703,7.3522
Eidskog,,59.9963,12.0623
Eidsvoll,,60.3921,11.2275
Eigersund,,58.3981,5.9537
Elverum,,60.9590,11.7361
Enebakk,,59.7666,11.1029
Engerdal,,61.9812,11.9540
Etne,,59.7712,6.1706
Etnedal,,60.9748,9.6402
Evenes - Evenášši,,68.4911,16.9732
Evje og Hornnes,,58.5811,7.7647
Farsund,,58.0292,6.6318
Fauske - Fuossko,,67.2241,15.7716
Fedje,,60.7898,4.4741
Fitjar,,59.9108,5.3032
Fjaler,,61.2854,5.3684
Fjord,,62.2892,7.3668
Flakstad,,68.1565,13.0513
Flatanger,,64.5219,10.5911
Flekkefjord,,58.2993,6.5875
Flesberg,,59.8480,9.4926
Flå,,60.4159,9.5026
Folldal,,62.1739,10.0191
Fredrikstad,,59.1923,10.8566
Frogn,,59.7037,10.6459
Froland,,58.5982,8.4161
Frosta,,63.5879,10.7066
Frøya,,64.0235,8.7920
Fyresdal,,59.1611,8.0557
Færder,,59.0189,10.4959
Gamvik,,70.9474,28.1324
Gausdal,,61.2716,9.8602
Gildeskål,,67.0487,13.9238
Giske,,62.6150,5.7848
Gjemnes,,62.9047,7.8312
Gjerdrum,,60.0808,11.0131
Gjerstad,,58.8888,8.9787
Gjesdal,,58.8135,6.2517
Gjøvik,,60.8878,10.4704
Gloppen,,61.7253,6.1602
Gol,,60.7468,8.9992
Gran,,60.4295,10.5147
Grane,,65.3987,13.4501
Gratangen,,68.6963,17.4959
Grimstad,,58.2845,8.6720
Grong,,64.5143,12.5891
Grue,,60.4414,12.2255
Gulen,,60.9674,5.1238
Guovdageaidnu - Kautokeino,,69.1316,23.5538
Gáivuotna - Kåfjord - Kaivuono,,69.4783,20.7422
Hadsel,,68.4983,14.8756
Halden,,59.0861,11.4921
Hamar,,60.9504,11.1430
Hammerfest - Hámmerfeasta,,70.6477,23.6065
Haram,,62.6940,6.1891
Hareid,,62.3589,6.0113
Harstad - Hárstták,,68.9478,16.4980
Hasvik,,70.6507,22.1340
Haugesund,,59.4738,5.0142
Heim,,63.2381,8.8702
Hemnes,,66.0143,14.0308
Hemsedal,,60.9109,8.4674
Herøy,Møre og Romsdal,62.4396,5.3973
Herøy,Nordland,66.1140,11.6330
